name,ndex,category,bio,type1,type2,predicted_type1,predicted_type2,match_score,binary_match_score,raw_output,input_tokens,output_tokens,total_tokens
Wormadam,413,Bagworm,"[NAME] is a black, bagworm-like Pokemon with a coat of plants, sand, or garbage, the last of which resembles building insulation. It has oval eyes, a long pointed beak, and a long antenna with a coiled tip. The beak is tipped with varying colors depending on the coat. The coat forms a pair of arm-like structures near this Pokemon's head. It is a female-only species, with Mothim as its male counterpart.",Bug,Grass,Bug,,0.5,0,"[""Bug""]",361,73,434
Gimmighoul,999,{{tt|Coin Chest|Chest Form}},"[NAME] is a small, blue-gray, metallic, bipedal Pokemon, with bands of two thin black stripes present around its torso and between its gold, circular eyes. It has a pair of thin black antennae and a tail, which are bent near the base and tipped with small gold circles.  

Its antennae vibrate when detecting something it deems notable, and will point at objects of interest. When [NAME] gathers 999 [NAME] Coins, it evolves into Gholdengo.",Ghost,,Ghost,,1.0,0,"[""Ghost""]",369,137,506
Oricorio,741,Dancing,"[NAME] is an avian Pokemon that can change between four markedly different forms. The form it takes depends on the kind of nectar it consumes. All forms have a light pink beak, thin legs, and dark eyes with white pupils. The feet have three toes in front and one in back, and the beak curves downward.

[NAME] is the only known Pokemon capable of learning the move Revelation Dance, which changes its type according to [NAME]'s style. It is also the only known Pokemon that can have Dancer as an Ability.",Fire,Flying,Flying,,0.5,0,"[""Flying""]",378,329,707
Solosis,577,Cell,"[NAME] is a round, green Pokemon surrounded by a darker green, gel-like substance. This liquid covering allows [NAME] to live under any conditions, even in the vacuum of space, but when taking heavy blows, its fluid covering may leak away. Its inner body has dark, oval eyes and a red diamond-shaped mouth. On the upper left side of its head is a curly, yellow growth that resembles the endoplasmic reticulum of a cell. It uses psychic powers to communicate with telepathy, as well as to drive away potential threats.",Psychic,,Poison,Psychic,0.5,0,"[""Poison"", ""Psychic""]",378,206,584
Lunatone,337,Meteorite,"[NAME] is a cream-colored, rock Pokemon with a crescent moon shape. In the center of the crescent is a pointed, beak-like structure. It has deep-set, red eyes, which can cause paralyzing fear or induce sleep.

[NAME] lives in caves and becomes active under a full moon. The moon increases its power, and its health is tied to the lunar phases. Using its psychic powers, [NAME] floats through the air. It was first discovered at the site of a meteor crash. There's a theory that [NAME] may have originated from outer space.",Rock,Psychic,Rock,Psychic,1.0,1,"[""Rock"", ""Psychic""]",387,77,464
Burmy,412,Bagworm,"[NAME] is a small, larval Pokemon with a black segmented body and a coiled antenna on top of its head. It has a beak-like mouth and yellow eyes. [NAME] has six stubby legs: the first two pairs are black, while the back pair is yellow. There are also two white spots on its cheeks. However, [NAME]'s legs and cheek spots are only visible on a [NAME] without a cloak.

As seen in the DP episode ''Some Enchanted Sweetening!'' it can uncoil the antenna on its head and wrap it around its opponent. Remoraid is a natural predator of [NAME].
",Bug,,,,0.0,0,,401,512,913
Eelektross,604,EleFish,"[NAME] is an eel-like Pokemon that resembles a lamprey, with a long tentacle-like, finned limb extending from its head. It has red eyes, a dark blue body, and possesses clawed, paddle-like arms with yellow spots and yellow-and-red palms. It has a beige fin on the upper portion of its body and beige fin-like legs below.

It lives in the ocean, but it crawls ashore using its arms in order to hunt. It latches onto prey with its sucker mouth and shocks them with electricity from its fangs, before dragging them as it returns into the ocean.",Electric,,Electric,Water,0.5,0,"[""Electric"", ""Water""]",390,76,466
Tynamo,602,EleFish,"[NAME] is a short, white, eel-like Pokemon with dark, oval eyes and a red, four-point star-shaped mouth. A wavy, yellow stripe runs along its body, which has a long fin membrane, giving it a tapered shape.

[NAME] has an organ that generates electricity, which it discharges when in danger. A single [NAME] does not generate much power, so groups of [NAME] move in schools and create a shock that is comparable to lightning. The Pokemon Company merchandise artwork and several TCG illustrations depict [NAME] swimming in or leaping out of bodies of water.",Electric,,Water,Electric,0.5,0,"[""Water"", ""Electric""]",390,12,402
Pansear,513,High Temp,"[NAME] is a simian, red-and-cream Pokemon. Its head is red with a whorled tuft on top. The tuft contains a flame, and can reach temperatures of 600&nbsp;°F (300&nbsp;°C). [NAME] has oval eyes, a tiny nose, and large ears with orange insides. Its muzzle, upper body, and skinny forelimbs are cream-colored, and its hands seem to have no fingers, aside from a thumb. [NAME]'s lower body is red with small feet, and its long tail has an arrowhead-shaped tip.

[NAME] makes its habitat in both forests and volcanic caves, and has been known to roast berries before eating them.",Fire,,Fire,,1.0,0,"[""Fire""]",412,9,421
Kakuna,14,Cocoon,"[NAME] is a yellow, insect cocoon-like Pokemon. [NAME] has a dome-shaped head and black, triangular eyes with glowing white pupils. It has two scythe-like arms in the middle of its body. When it comes close to evolving, its body gives off heat that makes it warm to the touch. [NAME] remains virtually immobile and waits for Evolution, often hanging from tree branches by long strands of silk. When attacked, however, it can extend its poison barbs. [NAME] nests in temperate forests and misty wooded areas. Occasionally, it will also nest at the mouth of tunnels and caves, as seen in Pokemon Snap.",Bug,Poison,Bug,Poison,1.0,1,"[""Bug"",""Poison""]",402,76,478
Furfrou,676,Poodle,"[NAME] is a quadrupedal, canine Pokemon with thick, white fur that covers its black body apart from its paws and face. The fur is thicker and fluffier around its head and tail. It has round, red eyes with blue eyelids, a pointed snout with a round, light blue nose, and long rectangular ears. When its mouth is open, two pointed teeth can be seen on its upper jaw. 

[NAME] used to guard the king in the ancient times of Kalos and is known to be loyal to its Trainer. [NAME] is said to be very intelligent.

Prior to Generation VII, [NAME] was the only known Pokemon that could have Fur Coat as an Ability.",Normal,,Normal,,1.0,0,"[""Normal""]",410,201,611
Shuckle,213,Mold,"[NAME] is a slender Pokemon with a yellow body that appears to be soft. Until they are in use, [NAME]'s limbs appear limp. It is encased in a hard, defensive red shell that has many holes in it. The holes in its shell are rimmed with white.

Rather than actively hunting and foraging for food like most other Pokemon, it collects Berries and stores them in its shell. The Berries inside are liquefied and fermented while they decompose by [NAME]'s digestive juices, which it then consumes. Its digestive juices are also used to dissolve rocks so [NAME] can hide under them. It can be found in the mountains.",Bug,Rock,Bug,Rock,1.0,1,"[""Bug"", ""Rock""]",404,76,480
Eelektrik,603,EleFish,"[NAME] is a blue-black, eel-like Pokemon with a beige underbelly. Its round, toothy, leech-like mouth has red lips, and its eyes have small pupils with yellow circle patterning around them. Beige fins extend from above and below its head, and its body has three yellow circular electricity-generating organs on either side. It has a red tail fin that resembles a fan.

[NAME] is a vigorous carnivore and has a good appetite. Upon spotting prey, it immediately coils around it and shocks it using its electricity-generating organs to paralyze it, before eating it. It dwells in caves and marine environments.",Electric,,Water,Electric,0.5,0,"[""Water"", ""Electric""]",398,76,474
Duosion,578,Mitosis,"[NAME] is a pale green Pokemon with a large head, stubby arms, and a body that tapers to a point at the bottom. It has oval, black eyes, and a red, diamond-shaped mouth. It is encased in a darker green, gelatinous substance that forms small, round bumps on the lower sides and over [NAME]'s head. A small circular piece of matter floats inside this substance over this Pokemon's head. It has two brains, which think independently, causing it to attempt two different actions at once. However, when its brains think alike, it exhibits greater psychic powers, which are said to be able to travel half a mile away.",Psychic,,Psychic,,1.0,0,"[""Psychic""]",403,266,669
Flittle,955,Frill,"[NAME] is a small Pokemon resembling a bird chick, with a yellow body, large blue eyes with a lavender triangular mark between them, and a small lavender mouth. It has white frills on its head and both yellow and pink frills extending from its belly, which it uses to emit psychic energy. Its pointed feet are extremely small and appear to serve no use in movement, dangling from its body as it levitates above the ground.

[NAME] spends most of its time roaming wastelands and mountainous regions. [NAME] is also known to be quite vengeful. Should anyone steal [NAME]'s berries, it will chase after them for revenge.",Psychic,,Psychic,Dark,0.5,0,"[""Psychic"", ""Dark""]",401,205,606
Simisage,512,Thorn Monkey,"[NAME] is a simian Pokemon that is primarily green. It has a pointed, bush-like crest on its head similar to a pompadour. The leaves that grow on this crest are bitter. Its ears are broad with light green insides, and it has oval eyes and a black nose. [NAME] has furry, white eyebrows and shoulder tufts; and a cream-colored face, chest, hands, and feet. Its hands have five fingers, and its feet have three toes. Its tail is long and tipped with leaves. The tail is lined with tiny, sharp barbs, allowing [NAME] to use it as bludgeon weapons.

[NAME] have an ill temperament and attack its enemies using its tail.",Grass,,Grass,,1.0,0,"[""Grass""]",414,201,615
Chingling,433,Bell,"[NAME] is a yellow, spherical Pokemon similar to a jingle bell. It has stubby arms and legs, as well as beady, black eyes. There are black circular openings on both sides of its mouth. Atop its body is a short yellow ring-like growth with a striped rope through the middle. The rope is red-and-white with short tassels on the ends. 

Inside its mouth is a red orb, which creates a ringing sound as the Pokemon moves. Additionally, the orb can be vibrated to create high-frequency, long-lasting cries to deafen its opponents. The sounds produced can be too high for people to hear, yet powerful enough to give them headaches.",Psychic,,Psychic,,1.0,0,"[""Psychic""]",405,138,543
Pansage,511,Grass Monkey,"[NAME] is a simian, green-and-cream Pokemon. It has oval, black eyes, large ears with light green insides, and a tiny, black nose. There is a broccoli-like sprout atop its head. In the sprout's foliage are three yellow, tapered seed-like shapes. Its muzzle, upper body, and skinny forelimbs are cream-colored, and its hands seem to have no fingers, aside from a thumb. [NAME]'s lower body is green with small feet, and its long tail is tipped with two leaves.

The leaves in the sprout of its head are edible, and can alleviate exhaustion. [NAME] dwells deep in the forest, where it collects berries to share with its friends.",Grass,,Grass,,1.0,0,"[""Grass""]",416,73,489
Karrablast,588,Clamping,"[NAME] is a round, bipedal Pokemon with a primarily blue carapace that comprises a horn at the tip. Its black face has a teal patch on its forehead, a fanged mouth, and eyes with orange pupils and yellow sclerae. Its ridged underbelly, or plastron, is yellow, and its stubby arms and legs are black. 

When it senses danger, it spews an acidic liquid from its mouth. It targets its rival Shelmet, so it can evolve through electrical-like energy. Shelmet is also the preferred prey of [NAME], as it eats the inside after melting the shell.  It resides in forests and fields, and it often hides in trees or grass if threatened.",Bug,,Bug,,1.0,0,"[""Bug""]",416,201,617
